Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Stage,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
73,2,vehicle_java2.jpg,Java,medium,B,stage2,0.7159763313609467,0.8165680473372781,0.5621301775147929,0.2662721893491124,0.0887573964497041,70.93799222516346,0.1696428571428571,-80,-80,1,-92,-84,2
73,2,vehicle_java2.jpg,Java,medium,B,stage1,0.7678571428571429,0.8392857142857143,0.6190476190476191,0.2321428571428571,0.0773809523809523,67.13449462855559,0.2053571428571428,-65,-65,1,-71,-71,1
37,5,vehicle_java2.jpg,Java,low,B,stage2,0.7286821705426356,0.8062015503875969,0.4806201550387597,0.3100775193798449,0.1240310077519379,67.9519280818483,0.2410714285714285,-48,-48,1,-67,-67,1
37,5,vehicle_java2.jpg,Java,low,B,stage1,0.8604651162790697,0.8837209302325582,0.6201550387596899,0.2093023255813953,0.1007751937984496,56.678567749229465,0.1785714285714285,-35,-35,1,-42,-42,1
37,2,rectangle_java2.jpg,Java,low,A,stage2,0.7614678899082569,0.8348623853211009,0.5504587155963303,0.2660550458715596,0.110091743119266,66.5047518426351,0.2083333333333333,-33,-33,1,-46,-46,1
37,2,rectangle_java2.jpg,Java,low,A,stage1,0.8165137614678899,0.8440366972477065,0.5596330275229358,0.2293577981651376,0.0825688073394495,45.77283935553004,0.1666666666666666,-31,-31,1,-31,-31,1
121,5,rectangle_java2.jpg,Java,medium,A,stage1,0.7272727272727273,0.7840909090909091,0.4659090909090909,0.2954545454545454,0.0909090909090909,49.82944544132659,0.2083333333333333,-26,-26,1,-43,-43,1
121,5,rectangle_java2.jpg,Java,medium,A,stage2,0.7640449438202247,0.8089887640449438,0.6292134831460674,0.2247191011235955,0.0449438202247191,55.6753194355852,0.1527777777777778,-51,-51,1,-58,-58,1
30,2,vehicle_java2.jpg,Java,none,B,stage1,0.7761194029850746,0.8059701492537313,0.5223880597014925,0.208955223880597,0.0298507462686567,55.28046557931214,0.1428571428571428,-41,-41,1,-37,-37,1
30,2,vehicle_java2.jpg,Java,none,B,stage2,0.7647058823529411,0.8529411764705882,0.5882352941176471,0.1911764705882352,0.0588235294117647,83.28399012722547,0.1517857142857142,-30,-30,1,-53,-53,1
30,5,rectangle_java2.jpg,Java,none,A,stage1,0.863013698630137,0.8767123287671232,0.6164383561643836,0.2191780821917808,0.1095890410958904,72.73676389222054,0.125,-27,-27,1,-25,-25,1
30,5,rectangle_java2.jpg,Java,none,A,stage2,0.7671232876712328,0.821917808219178,0.4931506849315068,0.273972602739726,0.1095890410958904,83.51353317612272,0.1388888888888889,-50,-50,1,-58,-58,1
126,2,vehicle_java2.jpg,Java,high,B,stage1,0.8301886792452831,0.8742138364779874,0.6226415094339622,0.2264150943396226,0.1069182389937107,63.25934923087494,0.2857142857142857,-25,-25,1,-50,-50,1
126,2,vehicle_java2.jpg,Java,high,B,stage2,0.675,0.75625,0.4375,0.30625,0.06875,109.53643158621044,0.3035714285714285,-92,-85,2,-95,-95,1
126,5,rectangle_java2.jpg,Java,high,A,stage1,0.8389261744966443,0.87248322147651,0.5973154362416108,0.2281879194630872,0.1073825503355704,55.31972385179789,0.25,-17,-17,1,-49,-49,1
126,5,rectangle_java2.jpg,Java,high,A,stage2,0.7986577181208053,0.825503355704698,0.4563758389261745,0.2953020134228188,0.1275167785234899,61.50758614819272,0.2569444444444444,-61,-61,1,-75,-75,1
110,2,rectangle_java2.jpg,Java,medium,A,stage1,0.8611111111111112,0.8888888888888888,0.6527777777777778,0.1944444444444444,0.0972222222222222,50.135741280183545,0.1319444444444444,-4,-4,1,-19,-19,1
110,2,rectangle_java2.jpg,Java,medium,A,stage2,0.863013698630137,0.8904109589041096,0.684931506849315,0.1780821917808219,0.0821917808219178,68.86060234422911,0.1597222222222222,-25,-25,1,-29,-29,1
110,5,vehicle_java2.jpg,Java,medium,B,stage2,0.8709677419354839,0.9193548387096774,0.6451612903225806,0.1774193548387097,0.1129032258064516,73.20432868742435,0.1875,-16,-16,1,-40,-40,1
110,5,vehicle_java2.jpg,Java,medium,B,stage1,0.9016393442622952,0.918032786885246,0.6721311475409836,0.1475409836065573,0.081967213114754,48.42346532650037,0.1517857142857142,-18,-18,1,-14,-14,1
128,5,vehicle_java2.jpg,Java,medium,B,stage2,0.7651821862348178,0.8582995951417004,0.5425101214574899,0.2550607287449393,0.117408906882591,78.7393070819783,0.2678571428571428,-119,-80,3,-118,-100,3
128,5,vehicle_java2.jpg,Java,medium,B,stage1,0.8861788617886179,0.9105691056910568,0.6788617886178862,0.2073170731707317,0.1219512195121951,51.88621625386574,0.2410714285714285,-56,-34,2,-54,-30,2
128,2,rectangle_java2.jpg,Java,medium,A,stage1,0.9008264462809916,0.9173553719008264,0.6694214876033058,0.1818181818181818,0.1074380165289256,54.12261286646304,0.1736111111111111,-12,-12,1,-19,-19,1
128,2,rectangle_java2.jpg,Java,medium,A,stage2,0.7213114754098361,0.7950819672131147,0.4836065573770491,0.2704918032786885,0.0737704918032786,87.58409023841229,0.2430555555555555,-81,-74,3,-66,-66,1
117,5,rectangle_java2.jpg,Java,medium,A,stage2,0.7114093959731543,0.8053691275167785,0.4630872483221476,0.3691275167785235,0.1812080536912751,77.9494853916222,0.2291666666666666,-70,-59,2,-71,-71,1
117,2,vehicle_java2.jpg,Java,medium,B,stage1,0.859504132231405,0.9008264462809916,0.6446280991735537,0.2148760330578512,0.1239669421487603,59.87650495109018,0.1964285714285714,-42,-42,1,-37,-37,1
117,5,rectangle_java2.jpg,Java,medium,A,stage1,0.8040540540540541,0.8581081081081081,0.5405405405405406,0.2837837837837837,0.1486486486486486,63.30443334594315,0.2152777777777778,-39,-39,1,-45,-45,1
117,2,vehicle_java2.jpg,Java,medium,B,stage2,0.7868852459016393,0.8688524590163934,0.5983606557377049,0.2131147540983606,0.0901639344262295,107.32756811162947,0.2321428571428571,-48,-37,2,-56,-56,1
3,5,rectangle_java2.jpg,Java,none,A,stage2,0.8656716417910447,0.8656716417910447,0.5970149253731343,0.1940298507462686,0.0746268656716417,55.29876933322371,0.1458333333333333,-22,-22,1,-51,-51,1
3,5,rectangle_java2.jpg,Java,none,A,stage1,0.8208955223880597,0.8507462686567164,0.5522388059701493,0.2686567164179104,0.1343283582089552,59.86159666254957,0.1180555555555555,-21,-21,1,-27,-27,1
3,2,vehicle_java2.jpg,Java,none,B,stage1,0.8571428571428571,0.8791208791208791,0.6923076923076923,0.1538461538461538,0.0439560439560439,42.8624921514548,0.1160714285714285,-43,-43,1,-45,-45,1
3,2,vehicle_java2.jpg,Java,none,B,stage2,0.8351648351648352,0.8901098901098901,0.6153846153846154,0.1978021978021978,0.0989010989010989,70.78936504928181,0.2410714285714285,-19,-19,1,-40,-40,1
143,2,vehicle_java2.jpg,Java,high,B,stage2,0.7575757575757576,0.8181818181818182,0.6060606060606061,0.2121212121212121,0.0454545454545454,109.8643102338179,0.1607142857142857,-27,-27,1,-46,-46,1
143,2,vehicle_java2.jpg,Java,high,B,stage1,0.7272727272727273,0.8333333333333334,0.5303030303030303,0.2575757575757575,0.106060606060606,88.44060536016923,0.1785714285714285,-20,-20,1,-15,-15,1
143,5,rectangle_java2.jpg,Java,high,A,stage2,0.5957446808510638,0.723404255319149,0.3617021276595745,0.3404255319148936,0.0851063829787234,92.78006377552929,0.1805555555555555,-22,-22,1,-50,-50,1
143,5,rectangle_java2.jpg,Java,high,A,stage1,0.723404255319149,0.8297872340425532,0.4680851063829787,0.2978723404255319,0.1489361702127659,92.74151731271728,0.1319444444444444,-19,-19,1,-23,-23,1
