Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
88,5,vehicle_java2.jpg,Java,high,0,B,-54,-31,2,-49,-40,2
43,2,vehicle_java2.jpg,Java,low,0,B,-118,-71,4,-137,-96,4
43,5,rectangle_java2.jpg,Java,low,1,A,-56,-56,1,-73,-73,1
155,2,vehicle_java2.jpg,Java,medium,1,B,-88,-67,3,-111,-91,2
155,5,rectangle_java2.jpg,Java,medium,1,A,-55,-39,2,-39,-39,1
44,2,vehicle_java2.jpg,Java,medium,0,B,-132,-65,4,-155,-108,4
44,5,rectangle_java2.jpg,Java,medium,0,A,-41,-39,2,-68,-68,1
27,5,rectangle_java.jpg,Java,low,1,A,-24,-7,2,-39,-39,1
27,2,vehicle_java.jpg,Java,low,0,B,1,1,1,-8,-8,1
18,2,vehicle_java.jpg,Java,medium,0,B,-142,-114,2,-162,-128,2
20,5,vehicle_java2.jpg,Java,medium,1,B,-82,-82,1,-105,-88,2
20,2,rectangle_java2.jpg,Java,medium,1,A,-36,-35,2,-47,-47,1
109,5,rectangle_python.jpg,Python,medium,0,A,-4,3,2,-15,-15,1
109,2,vehicle_python.jpg,Python,medium,0,B,-20,-7,2,-37,-22,3
16,2,rectangle_java2.jpg,Java,high,1,A,-84,-63,3,-87,-79,2
16,5,vehicle_java2.jpg,Java,high,1,B,-152,-133,3,-169,-156,3
29,2,vehicle_java2.jpg,Java,low,0,B,-129,-97,2,-125,-98,2
29,5,rectangle_java2.jpg,Java,low,0,A,-100,-86,2,-93,-75,2
107,2,rectangle_java.jpg,Java,medium,0,A,-62,-9,2,-49,-49,1
138,2,rectangle_java2.jpg,Java,medium,1,A,-7,-6,2,-39,-39,1
89,5,rectangle_java2.jpg,Java,medium,0,A,-44,-32,2,-61,-61,1
89,2,vehicle_java2.jpg,Java,medium,0,B,-93,-35,3,-103,-59,4
154,5,rectangle_java2.jpg,Java,low,1,A,-126,-95,3,-128,-117,2
154,2,vehicle_java2.jpg,Java,low,0,B,-266,-191,3,-277,-209,5
42,5,rectangle_java2.jpg,Java,high,1,A,12,12,1,-23,-23,1
42,2,vehicle_java2.jpg,Java,high,0,B,-43,-23,2,-44,-37,2
162,2,rectangle_java.jpg,Java,low,1,A,-126,-67,4,-114,-94,3
74,5,vehicle_java2.jpg,Java,high,1,B,-7,-7,1,-11,-11,1
74,2,rectangle_java2.jpg,Java,high,1,A,1,1,1,-22,-22,1
196,2,vehicle_java2.jpg,Java,low,0,B,-87,-61,2,-111,-87,2
196,5,rectangle_java2.jpg,Java,low,0,A,-172,-128,5,-165,-111,3
80,2,vehicle_java.jpg,Java,high,0,B,-60,-36,2,-61,-53,2
80,5,rectangle_java.jpg,Java,high,0,A,-64,-56,3,-75,-61,2
191,2,vehicle_java2.jpg,Java,medium,1,B,-80,-80,1,-103,-96,2
87,2,rectangle_java2.jpg,Java,high,0,A,-74,-74,1,-99,-99,1
87,5,vehicle_java2.jpg,Java,high,1,B,-10,-10,1,-32,-32,1
73,2,vehicle_java2.jpg,Java,medium,0,B,-165,-132,3,-177,-146,4
73,5,rectangle_java2.jpg,Java,medium,1,A,-116,-92,3,-115,-114,2
37,5,vehicle_java2.jpg,Java,low,1,B,-106,-69,2,-117,-93,2
37,2,rectangle_java2.jpg,Java,low,0,A,-78,-60,2,-80,-75,2
121,5,rectangle_java2.jpg,Java,medium,1,A,-82,-70,2,-77,-77,1
30,2,vehicle_java2.jpg,Java,none,0,B,-35,-35,1,-58,-58,1
30,5,rectangle_java2.jpg,Java,none,0,A,-48,-48,1,-72,-72,1
126,5,rectangle_java2.jpg,Java,high,1,A,-140,-77,2,-121,-121,1
126,2,vehicle_java2.jpg,Java,high,1,B,-178,-110,3,-181,-140,3
110,5,vehicle_java2.jpg,Java,medium,0,B,10,10,1,-12,-12,1
110,2,rectangle_java2.jpg,Java,medium,0,A,-11,-11,1,-27,-27,1
128,2,rectangle_java2.jpg,Java,medium,1,A,-88,-63,3,-81,-81,1
128,5,vehicle_java2.jpg,Java,medium,0,B,-190,-100,4,-196,-118,4
117,5,rectangle_java2.jpg,Java,medium,1,A,-139,-98,3,-138,-113,2
117,2,vehicle_java2.jpg,Java,medium,1,B,-69,-42,2,-85,-68,2
3,2,vehicle_java2.jpg,Java,none,0,B,-45,-45,1,-62,-62,1
3,5,rectangle_java2.jpg,Java,none,1,A,-27,-27,1,-56,-56,1
143,5,rectangle_java2.jpg,Java,high,1,A,-40,-36,2,-56,-56,1
143,2,vehicle_java2.jpg,Java,high,0,B,-18,-18,1,-41,-41,1
55,5,vehicle_java2.jpg,Java,medium,0,B,-134,-134,1,-143,-139,2
55,2,rectangle_java2.jpg,Java,medium,1,A,-94,-84,3,-93,-80,2
4,2,rectangle_java2.jpg,Java,medium,1,A,-68,-62,2,-85,-82,2
4,5,vehicle_java2.jpg,Java,medium,0,B,-97,-95,2,-118,-118,1
99,5,vehicle_java2.jpg,Java,high,0,B,-104,-42,3,-122,-65,3
