Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage
185,2,rectangle_java2.jpg,Java,medium,1,A,0.8861788617886179,0.926829268292683,0.6991869918699187,0.13821138211382114,0.07317073170731707,60.39976568153371,0.2152777777777778
93,2,vehicle_java.jpg,Java,none,0,B,0.6833333333333333,0.7833333333333333,0.55,0.25,0.05,92.89344455937363,0.15178571428571427
93,5,rectangle_java.jpg,Java,none,0,A,0.7764705882352941,0.8235294117647058,0.5058823529411764,0.27058823529411763,0.10588235294117647,63.073056612320855,0.1527777777777778
171,5,rectangle_java2.jpg,Java,medium,1,A,0.8662420382165605,0.910828025477707,0.6178343949044586,0.2484076433121019,0.16560509554140126,69.1337354206709,0.2569444444444444
171,2,vehicle_java2.jpg,Java,medium,0,B,0.8404255319148937,0.8900709219858156,0.6347517730496454,0.21631205673758866,0.1099290780141844,71.23961010026743,0.33035714285714285
67,2,rectangle_java2.jpg,Java,high,1,A,0.7707006369426752,0.8343949044585988,0.5222929936305732,0.2484076433121019,0.08917197452229299,77.2198372499921,0.2152777777777778
58,2,vehicle_java2.jpg,Java,medium,0,B,0.8193548387096774,0.8774193548387097,0.6451612903225806,0.1935483870967742,0.07741935483870968,63.8428932582497,0.22321428571428573
33,5,rectangle_java2.jpg,Java,high,1,A,0.6620689655172414,0.7793103448275862,0.41379310344827586,0.32413793103448274,0.1103448275862069,108.1447792078923,0.22916666666666666
33,2,vehicle_java2.jpg,Java,high,0,B,0.796875,0.875,0.5625,0.25390625,0.1328125,83.84124353716865,0.29464285714285715
125,2,rectangle_java.jpg,Java,medium,1,A,0.6636363636363637,0.7636363636363637,0.35454545454545455,0.33636363636363636,0.10909090909090909,125.20176859586824,0.20833333333333334
34,5,rectangle_java2.jpg,Java,medium,0,A,0.8677685950413223,0.9049586776859504,0.6611570247933884,0.23140495867768596,0.14049586776859505,58.006075424701024,0.22916666666666666
34,2,vehicle_java2.jpg,Java,medium,0,B,0.7696078431372549,0.8480392156862745,0.5686274509803921,0.25,0.10294117647058823,73.5029513979201,0.26785714285714285
114,5,vehicle_java2.jpg,Java,medium,0,B,0.7727272727272727,0.8863636363636364,0.6022727272727273,0.17045454545454544,0.06818181818181818,86.18947231682348,0.22321428571428573
66,2,vehicle_java2.jpg,Java,medium,0,B,0.7586206896551724,0.8620689655172413,0.5517241379310345,0.20689655172413793,0.08620689655172414,88.02478410129862,0.19642857142857142
66,5,rectangle_java2.jpg,Java,medium,1,A,0.7217391304347827,0.8,0.5043478260869565,0.30434782608695654,0.11304347826086956,66.40766797595258,0.19444444444444445
170,5,vehicle_java2.jpg,Java,medium,1,B,0.848297213622291,0.8854489164086687,0.6408668730650154,0.20743034055727555,0.09597523219814241,64.47983133076984,0.26785714285714285
59,2,vehicle_java.jpg,Java,medium,0,B,0.7801418439716312,0.8439716312056738,0.549645390070922,0.28368794326241137,0.13120567375886524,86.58978789409232,0.30357142857142855
183,2,vehicle_java2.jpg,Java,medium,1,B,0.7464285714285714,0.8357142857142857,0.5142857142857142,0.275,0.11428571428571428,72.67981845422958,0.3392857142857143
61,2,vehicle_java2.jpg,Java,medium,1,B,0.7942583732057417,0.8516746411483254,0.5358851674641149,0.2727272727272727,0.1291866028708134,74.74289000380826,0.25
61,5,rectangle_java2.jpg,Java,medium,1,A,0.7683284457478006,0.8269794721407625,0.5161290322580645,0.2668621700879765,0.0967741935483871,63.850223241265766,0.2708333333333333
1,2,vehicle_java.jpg,Java,high,0,B,0.7368421052631579,0.8421052631578947,0.5413533834586466,0.20300751879699247,0.05263157894736842,97.05975741866709,0.23214285714285715
