Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
201,2,rectangle_java2.jpg,Java,medium,1,A,0.8333333333333334,0.875,0.5666666666666667,0.2166666666666666,0.1,57.064211856010765,0.1944444444444444,-16,-16,1,-44,-44,1
208,5,rectangle_java2.jpg,Java,low,1,A,0.8206106870229007,0.8664122137404581,0.5877862595419847,0.2480916030534351,0.1183206106870229,55.67904678143764,0.25,-90,-78,2,-90,-88,2
200,2,vehicle_java.jpg,Java,low,1,B,0.7909604519774012,0.8813559322033898,0.5706214689265536,0.2372881355932203,0.1242937853107344,107.36686759460608,0.3035714285714285,-41,-40,2,-57,-52,2
200,5,rectangle_java.jpg,Java,low,1,A,0.7521739130434782,0.8173913043478261,0.5304347826086957,0.2826086956521739,0.1043478260869565,89.51071368055301,0.2291666666666666,-108,-96,3,-125,-121,2
207,2,vehicle_java2.jpg,Java,medium,0,B,0.8237082066869301,0.8814589665653495,0.6170212765957447,0.2310030395136778,0.1155015197568389,70.10104222552712,0.2857142857142857,-104,-104,1,-121,-112,2
207,5,rectangle_java2.jpg,Java,medium,1,A,0.7931034482758621,0.8352490421455939,0.578544061302682,0.2528735632183908,0.0919540229885057,73.36475704691009,0.2569444444444444,-112,-96,2,-111,-94,2
214,5,vehicle_java2.jpg,Java,medium,1,B,0.8134328358208955,0.8600746268656716,0.5970149253731343,0.2444029850746268,0.1063432835820895,66.99257995817112,0.3571428571428571,-238,-125,4,-243,-180,4
214,2,rectangle_java2.jpg,Java,medium,1,A,0.7368421052631579,0.8,0.4842105263157895,0.3263157894736842,0.1298245614035087,78.71663219370596,0.2569444444444444,-154,-112,3,-148,-118,3
212,2,rectangle_java2.jpg,Java,medium,0,A,0.7037037037037037,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.1172839506172839,60.7567849541461,0.2291666666666666,-88,-75,3,-93,-86,2
215,5,rectangle_java2.jpg,Java,medium,0,A,0.8315789473684211,0.8736842105263158,0.5789473684210527,0.2578947368421053,0.1368421052631579,74.0425376214087,0.2638888888888889,-50,-32,2,-55,-55,1
215,2,vehicle_java2.jpg,Java,medium,1,B,0.7558139534883721,0.8410852713178295,0.5891472868217055,0.2325581395348837,0.0775193798449612,93.73816132090644,0.25,-110,-82,3,-121,-98,3
106,2,vehicle_java2.jpg,Java,medium,0,B,0.7025641025641025,0.8,0.5333333333333333,0.2769230769230769,0.082051282051282,93.64532959412284,0.2589285714285714,-94,-71,2,-104,-89,2
10,5,vehicle_java.jpg,Java,medium,0,B,0.8444444444444444,0.8888888888888888,0.6370370370370371,0.1629629629629629,0.0592592592592592,80.04621546717414,0.25,-15,-15,1,-37,-37,1
139,5,vehicle_java2.jpg,Java,low,0,B,0.9017857142857144,0.9285714285714286,0.6517857142857143,0.1785714285714285,0.1160714285714285,64.92568160698232,0.2142857142857142,-2,-2,1,-10,-10,1
101,2,rectangle_java2.jpg,Java,medium,0,A,0.7911392405063291,0.8607594936708861,0.5316455696202531,0.240506329113924,0.1075949367088607,93.21855261952176,0.2708333333333333,-57,-11,2,-59,-59,1
101,5,vehicle_java2.jpg,Java,medium,1,B,0.8605990783410138,0.902073732718894,0.663594470046083,0.195852534562212,0.0990783410138248,66.01129745041683,0.3303571428571428,-338,-207,6,-343,-245,7
17,2,rectangle_java2.jpg,Java,medium,1,A,0.8036529680365296,0.8538812785388128,0.5616438356164384,0.2785388127853881,0.136986301369863,64.88709210305802,0.2361111111111111,-78,-78,1,-89,-89,1
